feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,label
7.165503,191.808983,10517.218690,7.739082,290.916912,486.732219,13.471093,74.483164,3.901809,0
13.306492,223.902379,30084.294591,5.593600,307.582386,354.551878,12.647312,,3.042378,1
2.018235,253.836832,15508.125993,8.288560,322.960384,483.342985,4.619484,41.673332,5.382886,1
13.281092,205.797387,15233.647587,6.156728,288.515168,508.971120,12.663021,43.092227,4.065604,1
4.365640,157.014818,21920.491049,8.858149,315.506955,530.617054,17.613322,87.228125,2.787734,0
5.926570,202.184516,40964.559543,7.284472,245.074133,376.916530,12.437339,61.119475,2.954434,0
11.587836,189.689135,10907.836266,8.666902,349.922990,430.899072,16.858745,76.928931,4.193375,0
5.728788,278.980143,20304.467235,7.936751,364.264771,386.832777,14.048776,38.812648,4.541742,0
7.694312,220.191849,14195.280796,6.048538,354.420484,446.222507,14.609683,66.531576,3.174919,1
0.385828,160.598988,25641.201546,7.477030,265.847306,436.994616,14.188179,73.559322,3.842916,1
10.549184,189.964347,19417.509164,7.852511,297.419237,322.060062,14.108775,72.970201,2.922199,0
7.534006,242.740695,20131.243112,7.680697,342.273371,504.082109,11.726234,95.181989,3.321035,0
4.616244,158.765172,24677.501344,8.673250,217.342329,485.777387,13.226990,56.275113,3.162402,1
11.038002,180.171470,18615.666531,7.875376,333.790141,378.725488,19.549518,70.643402,3.636830,1
4.244728,195.920688,20939.078692,8.681610,357.971252,413.703495,6.658608,63.082673,4.948503,1
6.348970,191.105205,25171.729106,5.978192,359.762264,388.333824,15.139885,38.408191,4.593671,0
1.876584,176.844280,20345.074559,9.249432,285.927883,338.430969,18.314698,76.383057,4.173892,0
5.643582,199.987782,18441.127190,7.896952,376.630559,458.579596,9.366404,48.481297,3.749669,0
2.848373,150.612309,13041.578342,6.448543,392.961933,426.213316,18.461651,50.807253,3.945275,1
3.672387,177.210191,24316.423012,7.235961,342.486173,420.375966,12.693591,50.600284,4.744158,0
10.505105,176.542684,21791.667888,5.569154,369.344624,510.978100,13.858205,61.481961,3.992501,0
3.925723,186.030063,19440.680044,5.983528,377.479723,439.455420,9.971952,63.962766,4.069669,0
6.792674,186.066618,15174.325159,8.498579,373.777355,499.475349,19.813741,91.425786,3.439075,0
13.730321,195.507481,16446.211480,8.715586,282.416458,405.841874,16.174577,52.182097,2.565981,1
13.463201,184.424529,12241.665029,6.691275,383.782623,535.065883,18.300116,78.011026,5.345902,1
10.147059,182.159819,36007.003772,3.917645,318.354661,285.364888,16.618205,79.644226,3.382982,0
7.577176,207.047331,26088.382148,5.484639,315.228626,370.917586,15.287236,67.082765,3.042304,1
3.876477,224.260988,38100.413303,8.211347,288.325791,483.910253,17.590917,63.273408,4.736961,0
2.249128,226.223340,5724.845776,7.741396,310.664862,447.938995,11.506348,82.035020,3.054090,0
13.578956,158.553275,6846.529746,7.793860,296.538217,400.746870,13.524462,,4.405309,0
7.224960,203.314706,23200.521492,5.247600,324.728401,399.800481,16.402439,55.070570,2.657306,1
1.622119,219.290067,19054.737229,6.548055,365.639607,377.211008,17.245184,61.260924,3.848547,1
8.728857,,16611.696972,7.579374,307.731939,483.437328,14.186008,55.758459,3.600534,0
10.873564,210.315930,15376.243539,7.876668,281.021048,415.980526,14.669797,84.812860,3.738855,0
8.582046,188.319315,18431.224534,6.386618,359.374068,342.236102,11.242845,56.595324,5.080833,0
12.842168,207.400047,-1723.605468,6.739941,423.803939,461.900880,20.607911,37.900898,4.235451,1
0.554300,146.604565,41896.081309,7.631317,310.202169,489.755704,14.817562,63.434044,4.057110,0
7.400250,210.080179,17787.913528,5.881930,274.530159,485.535154,14.307377,73.293540,4.021793,0
6.430702,179.884715,18881.039328,5.500332,313.627279,502.965232,18.336345,84.707045,2.589325,1
0.872894,171.773053,28921.485981,8.135559,359.016856,499.612583,13.050513,61.215060,3.620607,1
8.978594,,19218.333723,7.219712,336.405643,430.852586,16.725976,60.287163,4.333879,0
11.936860,226.835938,23643.851053,5.048938,301.028368,407.451918,7.105937,45.340609,3.309846,1
8.301174,225.449342,26961.622053,8.990131,319.178732,530.083627,15.383541,57.761927,3.848420,1
3.641364,203.214400,27555.247141,9.565630,324.263953,578.211742,14.674118,78.294414,3.259095,0
11.758341,222.902706,25541.123462,7.980675,375.615318,415.959801,15.051851,62.287054,4.192887,1
7.132942,182.221655,30495.708721,6.715097,289.233587,511.596876,18.809435,64.363128,4.390617,0
7.152444,155.405358,30700.279270,7.320622,377.065688,482.992145,17.535961,63.537170,3.084342,0
10.542423,135.531723,22289.110899,7.815712,307.687545,292.808298,14.820389,73.856667,4.425301,0
2.070909,194.211651,26006.878210,6.313933,364.222051,339.635295,14.943134,80.732378,4.792931,0
11.474774,190.511758,16789.726584,7.694802,356.023462,376.582970,13.656198,,2.305964,1
9.566017,196.345489,28352.478027,5.743869,312.041579,364.248105,13.494576,83.628404,4.140850,0
11.019357,,10125.107812,6.929618,332.031385,579.474836,13.558689,67.337076,3.207953,0
2.682628,234.156992,9323.984393,4.919040,322.876989,398.553882,14.363277,56.336827,4.043985,0
11.233098,165.724308,14799.911978,6.178151,337.218983,479.145938,10.346121,61.517919,3.666403,0
2.678535,170.396186,25850.101704,6.483625,333.006094,455.120006,15.827410,100.797272,2.773506,1
